"DateScraped","VIN","isTempVin","TempBuildWeek","isPresold","holdStatus","dealerCategory","dealerCd","DealerName","DealerCity","DealerState","DealerZip","distributorCd","year","bodyStyleDesc","extColor","intColor","PriceInvoice","PriceTotalMSRP","PriceAdvertised","Options","CarLink","DealerLink"
"06/27/2022","4T1S31AK0NU043089","False",,"True","DealerHold","Freight","11036","15933 Idaho Center Blvd","ID","Edmark Toyota","83687","TMNA","2022","SE HYBRID SEDAN","Supersonic Red","Black SofTex??[softex]",,"33786",,"Blind Spot Monitor (BSM) [bsm], Carpet Mat Package[installed_msrp], Convenience Package, Hybrid, Door Edge Guards[installed_msrp], Rear Bumper Appliqu? (Black)[installed_msrp], 50 State Emissions, Special Color, Dual USB Power Port (Rear Only)[installed_msrp], Power tilt/slide moonroof, Audio Upgrade Package, Trunk LED Light Bulb[installed_msrp]","https://guest.dealer.toyota.com/v-spec/4T1S31AK0NU043089/detail","https://www.toyota.com/dealers/dealer/11036"
"06/27/2022","4T1S31AK9NU043186","False",,"False","DealerHold","Ground","46003","3405 N. Auburn Way","WA","Doxon Toyota","98002","TMNA","2022","SE HYBRID SEDAN","Supersonic Red","Black SofTex??[softex]",,"33563","33563","Blind Spot Monitor (BSM) [bsm], Convenience Package, Hybrid, PREFERRED OWNER'S PORTFOLIO, 50 State Emissions, Special Color, Dual USB Power Port (Rear Only)[installed_msrp], Power tilt/slide moonroof, Audio Upgrade Package, All-Weather Floor Liner Package[installed_msrp]","https://guest.dealer.toyota.com/v-spec/4T1S31AK9NU043186/detail","https://www.toyota.com/dealers/dealer/46003"
"06/27/2022","4T1S31AKXNU043195","False",,"True","DealerHold","Freight","04819","Temecula Valley Toyota","Temecula","CA","92591","TMNA","2022","SE HYBRID SEDAN","Ice Edge","Black SofTex??[softex]",,"33361","33361","Blind Spot Monitor (BSM) [bsm], Carpet Mat Package[installed_msrp], Convenience Package, Hybrid, Door Edge Guards[installed_msrp], Rear Bumper Appliqu? (Black)[installed_msrp], 50 State Emissions, Dual USB Power Port (Rear Only)[installed_msrp], Power tilt/slide moonroof, Audio Upgrade Package, Trunk LED Light Bulb[installed_msrp]","https://guest.dealer.toyota.com/v-spec/4T1S31AKXNU043195/detail","https://www.toyota.com/dealers/dealer/04819"
"06/27/2022","4T1S31AK8NU043356","False",,"True","DealerHold","Ground","04278","Mossy Toyota","San Diego","CA","92109","TMNA","2022","SE HYBRID SEDAN","Ice Edge","Black SofTex??[softex]",,"33207",,"Blind Spot Monitor (BSM) [bsm], Carpet Mat Package[installed_msrp], Convenience Package, Hybrid, Door Edge Guards[installed_msrp], Rear Bumper Appliqu? (Black)[installed_msrp], 50 State Emissions, Power tilt/slide moonroof, Audio Upgrade Package","https://guest.dealer.toyota.com/v-spec/4T1S31AK8NU043356/detail","https://www.toyota.com/dealers/dealer/04278"
"06/27/2022","4T1S31AK7NU043395","False",,"True","DealerHold","Freight","04819","Temecula Valley Toyota","Temecula","CA","92591","TMNA","2022","SE HYBRID SEDAN","Ice Edge","Black SofTex??[softex]",,"33361","33361","Blind Spot Monitor (BSM) [bsm], Carpet Mat Package[installed_msrp], Convenience Package, Hybrid, Door Edge Guards[installed_msrp], Rear Bumper Appliqu? (Black)[installed_msrp], 50 State Emissions, Dual USB Power Port (Rear Only)[installed_msrp], Power tilt/slide moonroof, Audio Upgrade Package, Trunk LED Light Bulb[installed_msrp]","https://guest.dealer.toyota.com/v-spec/4T1S31AK7NU043395/detail","https://www.toyota.com/dealers/dealer/04819"
"06/27/2022","4T1S31AKXNU043522","False",,"False","DealerHold","Freight","04247","Toyota of Orange","Orange","CA","92867","TMNA","2022","SE HYBRID SEDAN","Ice Edge","Black SofTex??[softex]",,"33385",,"Blind Spot Monitor (BSM) [bsm], Carpet Mat Package[installed_msrp], Convenience Package, Hybrid, Door Edge Guards[installed_msrp], Rear Bumper Appliqu? (Black)[installed_msrp], 50 State Emissions, Hideaway Cargo Net[installed_msrp], Mudguards [installed_msrp], Power tilt/slide moonroof, Audio Upgrade Package","https://guest.dealer.toyota.com/v-spec/4T1S31AKXNU043522/detail","https://www.toyota.com/dealers/dealer/04247"
"06/27/2022","4T1S31AK8NU043583","False",,"False","DealerHold","Freight","30036","Amigo Toyota","Gallup","NM","87301","TMNA","2022","SE HYBRID SEDAN","Supersonic Red","Ash SofTex? [softex]",,"33761",,"Blind Spot Monitor (BSM) [bsm], Convenience Package, Hybrid, Door Edge Guards[installed_msrp], Rear Bumper Appliqu? (Black)[installed_msrp], 50 State Emissions, Mudguards [installed_msrp], Special Color, Power tilt/slide moonroof, Audio Upgrade Package, All-Weather Floor Liner Package[installed_msrp]","https://guest.dealer.toyota.com/v-spec/4T1S31AK8NU043583/detail","https://www.toyota.com/dealers/dealer/30036"
"06/27/2022","4T1S31AK5NU043637","False",,"False","DealerHold","Freight","04077","Folsom Lake Toyota","Folsom","CA","95630","TMNA","2022","SE HYBRID SEDAN","Ice Edge","Black SofTex??[softex]",,"33138",,"Blind Spot Monitor (BSM) [bsm], Convenience Package, Hybrid, 50 State Emissions, Mudguards [installed_msrp], Power tilt/slide moonroof, Audio Upgrade Package, All-Weather Floor Liner Package[installed_msrp]","https://guest.dealer.toyota.com/v-spec/4T1S31AK5NU043637/detail","https://www.toyota.com/dealers/dealer/04077"
"06/27/2022","4T1S31AKXNU043648","False",,"True","DealerHold","Freight","04772","Culver City Toyota","Culver City","CA","90232","TMNA","2022","SE HYBRID SEDAN","Ice Edge","Black SofTex??[softex]",,"33987",,"Quick Charge Cable Package[installed_msrp], Blind Spot Monitor (BSM) [bsm], Convenience Package, Hybrid, 50 State Emissions, Power tilt/slide moonroof, Audio Upgrade Package, Dual USB Power Port (Rear Only)[installed_msrp], Integrated Dashcam [installed_msrp], , All-Weather Floor Liner Package[installed_msrp]","https://guest.dealer.toyota.com/v-spec/4T1S31AKXNU043648/detail","https://www.toyota.com/dealers/dealer/04772"
"06/27/2022","4T1S31AK8NU043650","False",,"True",,"Freight","04737","Toyota of Lancaster","Lancaster","CA","93534","TMNA","2022","SE HYBRID SEDAN","Ice Edge","Black SofTex??[softex]",,"33282","38282","Blind Spot Monitor (BSM) [bsm], Carpet Mat Package[installed_msrp], Convenience Package, Hybrid, PREFERRED OWNER'S PORTFOLIO, Door Edge Guards[installed_msrp], Rear Bumper Appliqu? (Black)[installed_msrp], 50 State Emissions, Power tilt/slide moonroof, Audio Upgrade Package, Alloy Wheel Locks [installed_msrp]","https://guest.dealer.toyota.com/v-spec/4T1S31AK8NU043650/detail","https://www.toyota.com/dealers/dealer/04737"
"06/27/2022","4T1S31AKXNU043651","False",,"False","DealerHold","Freight","04508","Manhattan Beach Toyota","Manhattan Beach","CA","90266","TMNA","2022","SE HYBRID SEDAN","Ice Edge","Black SofTex??[softex]",,"33738",,"Blind Spot Monitor (BSM) [bsm], Convenience Package, Hybrid, Door Edge Guards[installed_msrp], Rear Bumper Appliqu? (Black)[installed_msrp], 50 State Emissions, Hideaway Cargo Net[installed_msrp], Door Sill Protectors[installed_msrp], Mudguards [installed_msrp], Dual USB Power Port (Rear Only)[installed_msrp], Power tilt/slide moonroof, Audio Upgrade Package, Trunk LED Light Bulb[installed_msrp], All-Weather Floor Liner Package[installed_msrp]","https://guest.dealer.toyota.com/v-spec/4T1S31AKXNU043651/detail","https://www.toyota.com/dealers/dealer/04508"
"06/27/2022","4T1S31AK4NU043693","False",,"False","DealerHold","Freight","04104","Toyota Sunnyvale","Sunnyvale","CA","94087","TMNA","2022","SE HYBRID SEDAN","Ice Edge","Black SofTex??[softex]",,"33009",,"Blind Spot Monitor (BSM) [bsm], Convenience Package, Hybrid, PREFERRED OWNER'S PORTFOLIO, 50 State Emissions, Power tilt/slide moonroof, Audio Upgrade Package, All-Weather Floor Liner Package[installed_msrp]","https://guest.dealer.toyota.com/v-spec/4T1S31AK4NU043693/detail","https://www.toyota.com/dealers/dealer/04104"
"06/27/2022","4T1S31AKXNU043701","False",,"False","DealerHold","Freight","04197","14577 East Whittier Blvd.","CA","Toyota of Whittier","90605","TMNA","2022","SE HYBRID SEDAN","Supersonic Red","Black SofTex??[softex]",,"33558",,"Blind Spot Monitor (BSM) [bsm], Carpet Mat Package[installed_msrp], Convenience Package, Hybrid, 50 State Emissions, Hideaway Cargo Net[installed_msrp], Special Color, Power tilt/slide moonroof, Audio Upgrade Package, Alloy Wheel Locks [installed_msrp]","https://guest.dealer.toyota.com/v-spec/4T1S31AKXNU043701/detail","https://www.toyota.com/dealers/dealer/04197"
"06/27/2022","4T1S31AK3NU043717","False",,"False",,"Freight","04359","Moss Bros. Toyota","Moreno Valley","CA","92555","TMNA","2022","SE HYBRID SEDAN","Supersonic Red","Black SofTex??[softex]",,"33786",,"Blind Spot Monitor (BSM) [bsm], Carpet Mat Package[installed_msrp], Convenience Package, Hybrid, Door Edge Guards[installed_msrp], Rear Bumper Appliqu? (Black)[installed_msrp], 50 State Emissions, Special Color, Dual USB Power Port (Rear Only)[installed_msrp], Power tilt/slide moonroof, Audio Upgrade Package, Trunk LED Light Bulb[installed_msrp]","https://guest.dealer.toyota.com/v-spec/4T1S31AK3NU043717/detail","https://www.toyota.com/dealers/dealer/04359"
"06/27/2022","4T1S31AK7NU043719","False",,"False","DealerHold","Freight","04347","Frontier Toyota","Valencia","CA","91355","TMNA","2022","SE HYBRID SEDAN","Ice Edge","Black SofTex??[softex]",,"33103",,"Blind Spot Monitor (BSM) [bsm], Carpet Mat Package[installed_msrp], Convenience Package, Hybrid, PREFERRED OWNER'S PORTFOLIO, Rear Bumper Appliqu? (Black)[installed_msrp], 50 State Emissions, Power tilt/slide moonroof, Audio Upgrade Package, Trunk LED Light Bulb[installed_msrp]","https://guest.dealer.toyota.com/v-spec/4T1S31AK7NU043719/detail","https://www.toyota.com/dealers/dealer/04347"
"06/27/2022","4T1S31AK3NU043720","False",,"True","DealerHold","Freight","04250","Carson Toyota","Carson","CA","90745","TMNA","2022","SE HYBRID SEDAN","Supersonic Red","Black SofTex??[softex]",,"33776",,"Blind Spot Monitor (BSM) [bsm], Carpet Mat Package[installed_msrp], Convenience Package, Hybrid, Rear Bumper Appliqu? (Black)[installed_msrp], 50 State Emissions, Hideaway Cargo Net[installed_msrp], Door Sill Protectors[installed_msrp], Special Color, Power tilt/slide moonroof, Audio Upgrade Package, Trunk LED Light Bulb[installed_msrp]","https://guest.dealer.toyota.com/v-spec/4T1S31AK3NU043720/detail","https://www.toyota.com/dealers/dealer/04250"
